0.53	-2.19	3.33	7033
0.52	-2.22	3.34	7057
0.52	-2.20	3.33	7080
0.53	-2.20	3.32	7102
0.53	-2.21	3.31	7123
0.52	-2.21	3.32	7146
0.52	-2.21	3.29	7170
0.51	-2.23	3.32	7192
0.50	-2.23	3.33	7213
0.52	-2.20	3.31	7235
0.51	-2.21	3.32	7260
0.52	-2.22	3.31	7281
0.52	-2.22	3.32	7303
0.53	-2.22	3.32	7325
0.52	-2.22	3.32	7349
0.51	-2.21	3.32	7371
0.52	-2.21	3.31	7392
0.51	-2.20	3.32	7414
0.51	-2.22	3.32	7438
0.52	-2.21	3.33	7460
0.53	-2.21	3.32	7484
0.52	-2.21	3.33	7508
0.54	-2.20	3.32	7532
0.52	-2.21	3.32	7554
0.52	-2.20	3.33	7574
0.54	-2.21	3.31	7599
0.54	-2.21	3.34	7622
0.53	-2.22	3.31	7645
0.52	-2.23	3.31	7687
0.53	-2.20	3.31	7712
0.51	-2.21	3.32	7736
0.51	-2.21	3.33	7757
0.51	-2.20	3.33	7779
0.51	-2.21	3.31	7803
0.53	-2.21	3.32	7827
0.52	-2.21	3.30	7848
0.52	-2.23	3.32	7870
0.51	-2.21	3.30	7894
0.52	-2.21	3.33	7917
0.52	-2.22	3.34	7939
0.52	-2.21	3.33	7959
0.53	-2.20	3.32	7984
0.53	-2.22	3.32	8006
0.52	-2.21	3.34	8030
0.53	-2.20	3.32	8053
0.52	-2.22	3.31	8077
0.51	-2.23	3.32	8099
0.51	-2.22	3.32	8120
0.52	-2.21	3.32	8142
0.53	-2.21	3.33	8166
0.52	-2.21	3.33	8188
0.52	-2.22	3.32	8210
0.52	-2.21	3.33	8232
0.52	-2.20	3.32	8256
0.53	-2.20	3.32	8278
0.53	-2.21	3.31	8299
0.52	-2.22	3.31	8322
0.52	-2.20	3.30	8345
0.52	-2.21	3.31	8368
0.52	-2.21	3.30	8389
0.51	-2.22	3.31	8412
0.53	-2.21	3.32	8435
0.52	-2.21	3.31	8458
0.54	-2.22	3.31	8478
0.55	-2.22	3.30	8501
0.52	-2.21	3.31	8525
0.51	-2.21	3.32	8547
0.52	-2.21	3.32	8572
0.52	-2.21	3.32	8595
0.52	-2.22	3.32	8617
0.51	-2.21	3.33	8639
0.52	-2.21	3.32	8662
0.53	-2.22	3.32	8684
0.52	-2.20	3.32	8707
0.53	-2.21	3.33	8729
0.51	-2.21	3.31	8752
0.53	-2.21	3.34	8773
0.52	-2.21	3.32	8797
0.53	-2.21	3.34	8818
0.51	-2.20	3.32	8841
0.53	-2.21	3.32	8863
0.54	-2.21	3.31	8887
0.53	-2.21	3.32	8913
0.52	-2.22	3.32	8935
0.51	-2.21	3.32	8958
0.51	-2.21	3.33	8982
0.52	-2.20	3.35	9005
0.52	-2.21	3.32	9026
0.52	-2.21	3.34	9049
0.53	-2.21	3.33	9072
0.52	-2.23	3.31	9097
0.51	-2.22	3.33	9119
0.51	-2.22	3.32	9142
0.52	-2.21	3.32	9164
0.52	-2.21	3.32	9187
0.53	-2.21	3.32	9209
0.52	-2.19	3.32	9231
0.51	-2.21	3.31	9253
0.52	-2.22	3.31	9276
0.52	-2.22	3.32	9298
0.51	-2.21	3.33	9321
0.53	-2.22	3.30	9344
0.51	-2.21	3.33	9366
0.51	-2.21	3.31	9389
0.52	-2.21	3.35	9410
0.53	-2.21	3.32	9433
0.50	-2.22	3.32	9455
0.52	-2.21	3.32	9478
0.54	-2.22	3.33	9500
0.50	-2.21	3.33	9523
0.50	-2.22	3.32	9545
0.52	-2.22	3.30	9568
0.52	-2.22	3.32	9590
0.52	-2.21	3.31	9615
0.52	-2.23	3.32	9639
0.52	-2.21	3.31	9662
