	-0.32	-0.92	2387
0.21	-0.25	-1.13	3622
0.11	-0.29	-1.11	3628
0.17	-0.34	-1.06	3633
0.16	-0.30	-0.99	3638
0.19	-0.30	-0.98	3642
0.19	-0.30	-1.00	3647
0.20	-0.23	-1.03	3652
0.21	-0.21	-1.01	3657
0.21	-0.27	-0.97	3662
0.25	-0.25	-0.95	3666
0.12	-0.21	-0.93	3672
0.24	-0.22	-0.93	3677
0.22	-0.23	-0.95	3682
0.27	-0.31	-0.95	3687
0.22	-0.28	-0.92	3692
0.19	-0.25	-0.89	3697
0.29	-0.22	-0.89	3701
0.24	-0.23	-0.89	3706
0.23	-0.22	-0.88	3712
0.23	-0.22	-0.87	3717
0.24	-0.21	-0.84	3722
0.23	-0.18	-0.84	3726
0.24	-0.15	-0.86	3731
0.22	-0.17	-0.87	3736
0.24	-0.16	-0.88	3741
0.26	-0.14	-0.88	3746
0.30	-0.13	-0.88	3750
0.27	-0.13	-0.90	3756
0.30	-0.12	-0.92	3761
0.31	-0.12	-0.93	3766
0.28	-0.12	-0.93	3771
0.28	-0.13	-0.93	3776
0.28	-0.14	-0.93	3781
0.27	-0.15	-0.94	3786
0.27	-0.16	-0.95	3790
0.26	-0.16	-0.96	3795
0.26	-0.17	-0.96	3801
0.25	-0.17	-0.96	3806
0.24	-0.17	-0.96	3810
0.25	-0.16	-0.95	3815
0.25	-0.14	-0.95	3820
0.24	-0.12	-0.95	3825
0.24	-0.10	-0.96	3830
0.24	-0.08	-0.96	3834
0.24	-0.06	-0.94	3840
0.23	-0.04	-0.94	3845
0.21	-0.03	-0.94	3850
0.20	-0.03	-0.93	3855
0.18	-0.02	-0.91	3860
0.16	-0.02	-0.91	3865
0.14	-0.01	-0.92	3870
0.12	-0.02	-0.93	3874
0.10	-0.04	-0.93	3879
0.11	-0.02	-0.92	3885
0.12	-0.01	-0.91	3890
0.14	-0.02	-0.90	3895
0.17	-0.02	-0.90	3899
0.15	0.01	-0.91	3904
0.21	-0.00	-0.93	3909
0.24	-0.01	-0.96	3914
0.25	-0.01	-0.97	3919
0.26	0.00	-0.97	3923
0.25	-0.01	-0.96	3929
0.20	-0.00	-0.93	3934
0.19	-0.01	-0.92	3939
0.19	-0.02	-0.90	3944
0.20	-0.02	-0.87	3948
0.19	0.00	-0.85	3953
0.18	0.00	-0.83	3958
0.19	-0.00	-0.81	3963
0.18	-0.01	-0.79	3969
0.18	-0.01	-0.79	3974
0.19	-0.01	-0.79	3979
0.20	0.00	-0.80	3984
0.21	0.02	-0.80	3988
0.21	0.02	-0.81	3993
0.23	0.02	-0.83	3998
0.22	0.02	-0.85	4003
0.23	0.03	-0.86	4008
0.23	0.04	-0.87	4014
0.21	0.04	-0.87	4018
0.22	0.04	-0.86	4023
0.21	0.05	-0.85	4028
0.21	0.04	-0.84	4033
0.19	0.04	-0.84	4038
0.17	0.04	-0.84	4042
0.16	0.03	-0.84	4047
0.15	0.03	-0.85	4052
0.14	0.03	-0.86	4058
0.13	0.04	-0.86	4063
0.14	0.04	-0.86	4068
0.14	0.04	-0.87	4072
0.14	0.04	-0.88	4077
